arabella+-+arctic+monkeys
oh+my+god+-+adele
we+can+be+friends+-+ariana+grande
dream+girl+evil+-+florence+and+the+machine
walk+like+this+-+FLO
tudo+-+liniker
eyes+closed+-+imagine+dragons
too+sweet+-+hozier
fell+better+-+kwaye
stay+for+a+while+-+victor+ray
